2M02094995-7316541 4644411474495868032 3.65 4320 -0.10  -805.16    13.37    14.02    12.60     0.122  1052 13.24   nan    1.14 0 1
2M02113257-7408036 4637563338121539456 2.69 5033 -1.21  -444.69    15.95    16.45    15.30     0.164  6147  3.70   nan    1.00 0 1
2M02154713-0452082 2489734954570018304 3.61 4672 -0.96  -913.44    13.47    13.94    12.84     0.000   939 32.20   nan   20.36 0 1
2M02173963+5326443  455328660084847360 3.26 4279 -0.03  -773.45    13.17    13.92    12.32     0.384  1053  7.06 10.84    1.15 1 1
2M02224187-0531045 2489408743213972864 3.01 5245 -2.19  -526.94    12.39    12.74    11.88     0.000   814 95.96   nan    1.10 0 0
2M02273631+4644099  353737462165445504 3.63 4813  0.07  -287.32    12.75    13.34    12.04     0.247   886  1.66  7.50    4.76 0 1
2M02305063+4721305  354143147596328320 2.95 4639 -0.32  -402.35    14.13    14.80    13.34     0.466  2749  4.85   nan    1.02 0 1
2M02353225+6048063  465265462062643200 2.40 4564 -0.83  -567.41    15.85    17.08    14.73     2.824  3118 10.09   nan    1.02 0 1
2M02360491+6024160  465221515956667520 2.46 4382 -0.31  -329.10    14.68    16.38    13.41     3.510  3351 12.06   nan    1.02 0 1
2M02400742+2745075  127082107989918848 3.40 4611 -0.20  -589.69    13.87    14.52    13.11     0.521  1453  6.40   nan    1.08 0 1
2M02444627+0656123   18789038810994560 2.86 4593 -0.52  -476.84    12.31    12.98    11.54     0.658  1783  7.21 11.10    1.00 1 1
2M02454558+0945485   21643753249319936 3.65 4963 -0.30  -287.56    13.87    14.54    13.08     0.932   896  3.07   nan    0.99 0 0
2M02484317+0012432 2498941955703453440 3.65 4520 -0.17  -661.40    12.79    13.29    12.15     0.247   761  9.57   nan    1.08 0 1
2M02484368+3106550  130173900330982016 3.37 4580 -0.15  -577.95     6.61     7.19     5.94     0.494    41 12.47 16.58    3.11 1 0
2M02491285+5534213  454457984314449664 2.33 4985 -1.59  -410.35    12.10    12.98    11.17     1.892  1279  7.73  9.07    1.03 0 1
2M02503877+0748459   20316402196561408 3.76 4666 -0.35  -604.34    12.39    13.04    11.63     0.521   604  8.28 14.59    1.14 1 1
2M02522317+5338044  453281369432881152 2.90 4493  0.12  -327.68    14.50    15.61    13.46     1.673  2721  6.65   nan    1.12 0 1
2M02574555-1602147 5154102081099625344 2.65 5117 -1.30  -486.99    13.02    13.47    12.41     0.055  2356  1.70   nan    0.94 0 1
2M02575830+4600311  434137119643776768 3.76 4614 -0.10  -713.41    14.22    14.83    13.47     0.713   977  9.18   nan    1.07 0 1
2M02591437+0004585 2498001602679040896 3.44 4877 -1.08  -638.55    12.71    13.08    12.17     0.247  1421  6.64   nan    4.27 0 1
2M02594536-0024507 5188117805471505536 3.45 4439 -0.67  -954.05    13.21 -9999.00 -9999.00 -9999.000 -9999 14.14   nan    3.61 0 1
2M03012634+2745029  116567886314630016 3.29 4530  0.10  -539.58    11.86    12.54    11.05     0.521   647  6.50   nan    1.27 0 1
2M03020122-0027079 5188070496407347072 3.51 4538 -0.69  -837.05    11.16    11.71    10.48     0.219   245 37.26   nan    2.22 1 1
2M03021936+0111393     223411314459392 3.27 4698 -0.21  -427.31    11.50    11.91    10.93     0.219   794 12.32 14.02    0.98 0 1
2M03044060+2644007  115503872594802816 3.69 4821  0.21  -311.07    14.29    14.95    13.53     0.576  1222  1.62   nan    1.07 0 0
2M03060480-0015294 3266356202367982848 4.48 4805 -0.63 -1092.96    13.05    13.54    12.41     0.247   763 14.15   nan    0.98 0 1
2M03060894+4508384  433332552010757760 2.84 4355 -0.35  -605.75    14.24    15.02    13.38     0.768  3942  9.67   nan    1.03 0 1
2M03064572+4359429  432949509647056512 3.23 4500 -0.55  -541.14    14.13    14.86    13.29     0.494  3744 17.15   nan    1.03 0 0
2M03082560+2619532  112440873718983680 3.43 5352 -2.41  -768.71 -9999.00 -9999.00 -9999.00 -9999.000 -9999  2.67   nan    1.01 0 0
2M03103501+6339444  467111645162295168 2.68 4514 -0.32  -396.29    14.99    16.14    13.92     2.276  3649  8.91   nan    1.01 0 1
2M03113967+6134022  463284348265173248 2.60 4586 -0.47  -390.27    14.19    15.14    13.22     1.947  4263  6.60   nan    1.11 0 1
2M03122398+3937209  238757579879232640 3.79 4385 -0.17  -730.50    14.20    14.86    13.43     0.356  1283 11.94   nan    1.04 0 1
2M03145270-0839241 5167473894840007680 3.37 4476  0.11  -555.23    11.91    12.57    11.13     0.192   495  5.10  6.26    1.22 1 1
2M03150231+5235580  445991160663273984 3.28 4441 -0.35  -852.52    14.74    15.82    13.69     2.057  2286 11.64   nan    1.05 0 1
2M03155589+4822011  435552809586931712 3.15 4474 -0.59  -774.12    14.61    15.60    13.62     1.481  4327 12.64   nan    1.00 0 1
2M03220165-0020329 3262842880464520576 3.42 4772 -0.55  -600.01    12.06    12.55    11.42     0.219   544 12.59   nan    1.24 1 1
2M03235953+2126247   61282624901794176 2.77 5093 -1.01  -385.17    14.26    14.95    13.46     0.740  2556  2.13   nan    1.03 0 0
2M03241125+0932540   12750216009400832 3.50 4323  0.11  -748.64    15.26    16.05    14.39     0.631  1286  9.24   nan    0.96 0 1
2M03254609+0105483 3267532748529199488 3.32 5371 -1.44  -544.18    12.72    13.15    12.13     0.329   825  8.67   nan    1.09 0 0
2M03291955-0701535 5168686278209181312 3.59 4474 -0.13  -707.23    13.17    13.76    12.42     0.247   633 10.56   nan    1.10 0 1
2M03295193+8037023  568124358221310336 2.94 4434 -0.54  -582.43    11.96    12.63    11.18     0.439  1629 16.55  9.31    0.94 0 1
2M03315322+3035217  121122892406436224 3.09 4685 -0.49  -437.31    12.96    14.03    11.94     1.645   678  2.40 26.78    1.19 0 0
2M03331070-0718060 5168628416409881472 3.67 4958 -0.50  -305.60    12.02    12.51    11.39     0.219   721  1.59 11.89    4.14 1 1
2M03341393+4645219  248087176560835584 3.49 4496  0.26  -546.71    13.33    14.14    12.45     1.426   848  5.69   nan    1.69 0 1
2M03341613+6247507  487656294804564736 3.00 4493 -0.04  -416.64    13.82    15.27    12.64     2.715  1733 10.66   nan    1.08 0 1
2M03370631+4727591  248207298206770560 3.15 4307 -0.18  -779.72    14.69    15.63    13.73     0.960  1559  7.42   nan    0.95 0 0
2M03371074+0034425 3263936138619997824 3.02 5100 -0.88  -323.56    12.85    13.31    12.24     0.192  1347  2.15 15.47    1.00 0 0
2M03385712+3234326  217435330700174720 3.83 4565 -0.22  -711.11    12.49    13.23    11.65     1.206   356 81.65   nan    1.46 0 0
2M03394759-0731587 3243836520604626304 3.06 4282  0.08  -540.99    11.09    11.82    10.30     0.219   790 12.88  7.22    1.22 1 1
2M03400314+4941458  249621373239512320 2.93 4323 -0.15  -524.01    15.35    16.56    14.25     1.837  3137 13.24   nan    1.04 0 1
2M03421902-0543084 3244676032091911552 2.85 4568 -0.37  -391.61    13.02    13.58    12.32     0.110  1863  6.25   nan    0.92 0 1
2M03462735+6923086  494465639033822336 2.51 4478 -0.33  -326.57    14.75    15.85    13.71     1.673  3271  8.94   nan    1.03 0 1
2M03470088+5521187  445408866176003456 3.52 4334 -0.43  -907.86    17.21    19.11    15.87     3.839  2867 17.98   nan    1.02 0 1
2M03490847+2306236   64917094946846592 2.77 5032 -0.95  -370.88    13.53    14.11    12.81     0.466  2029  1.86   nan    1.01 0 0
2M03495391+7932383  555768531881759104 3.79 4539 -0.70  -894.42    15.04    15.60    14.32     0.329  2504 13.78   nan    0.99 0 1
2M03502316-6951558 4666276156567500544 3.81 4570 -0.62  -845.71    12.49    12.99    11.85     0.327   792 13.57 45.24    1.17 1 0
2M03511367-7021522 4666224479521056896 2.83 4585 -0.27  -296.41    10.16    10.79     9.45     0.212   708  9.68 14.34    1.12 0 0
2M03555253+2210483   65307868251662592 2.39 4719 -0.85  -290.14    13.41    13.98    12.28     0.576  2729  3.57   nan    0.97 0 0
2M03560313-6951304 4666221387144480640 2.99 5218 -2.04  -547.53    13.63    14.07    13.03     0.386  1555  1.99   nan    0.93 0 0
2M03563443+4957172  250202533853928064 2.49 4476 -0.57  -388.20    14.12    15.42    12.92     2.742  3548 15.40   nan    1.08 0 1
2M03581463-7009057 4666202003955809024 2.96 4560 -0.36  -315.75    11.72    12.39    10.96     0.388  1379 15.01 14.08    0.91 0 0
2M03582794+5210291  251702061556491520 3.27 4507 -0.61  -689.95    17.06    18.71    15.78     3.482  5004 17.49   nan    0.96 0 1
2M03590421+2505379   66280626805140608 2.86 4377 -0.04  -411.46    10.22    11.01     9.38     0.439   640 10.84 12.41    0.96 0 1
2M04001059+1535103   40151557603791104 2.93 4586 -0.37  -495.10    13.97    14.71    13.13     0.877  1980  6.15   nan    1.03 0 0
2M04001631-3015459 4887286618045543808 3.67 5047 -0.53  -291.21    14.12    14.56    13.52     0.027  1291  1.53   nan    1.11 0 1
2M04032821-0612446 3197345282036078080 3.47 5533 -2.09  -572.39    12.32    12.70    11.77     0.329   604  1.80   nan    1.11 0 1
2M04034278+3742200  226343509487349760 3.44 4816 -0.21  -287.02    13.78    14.62    12.88     1.453   737  2.23   nan    1.18 0 0
2M04041220+5339556  275943436790925440 2.67 4647 -0.76  -462.87    15.98    17.28    14.83     2.386  7739 16.43   nan    1.03 0 1
2M04045103+5219409  251050566558420992 3.57 4710 -0.47  -585.81    16.58    18.12    15.35     3.126  3504 15.67   nan    0.99 0 1
2M04050193+7906395  555023200437779328 3.52 4284 -0.25  -795.17    16.11    16.81    15.27     0.302  1981 13.38   nan    0.93 0 1
2M04060368-7011373 4666373974446341888 3.50 4922 -0.39  -333.26    12.64    13.17    11.98     0.345   701  1.53   nan    1.17 0 0
2M04070214-6847281 4666758842171890944 3.01 4587 -0.82  -696.79    15.53    16.09    14.82     0.344  3941  4.24   nan    1.06 0 1
2M04070527-6810441 4668289946473248512 3.65 4849 -1.92 -1430.66    16.76    17.36    16.03     0.236  5587  3.81   nan    1.00 0 0
2M04071725-6730118 4668474698786840704 3.62 5025 -0.68  -299.66    13.59    14.06    12.98     0.122  1381  1.57   nan    0.97 0 0
2M04072268-6641094 4668539879210319360 3.39 4903 -0.37  -299.75    13.78    14.28    13.13     0.105   985  1.77   nan    5.30 0 0
2M04085098+2616274  162563520019789440 2.91 4578 -0.49  -387.30    14.01    14.80    13.13     0.877  2860  9.24   nan    1.01 0 0
2M04102879-7109035 4653899538289435008 3.69 4886 -0.38  -291.61    13.77    14.30    13.09     0.323  1003  2.31   nan    1.03 0 1
2M04151634+6028339  472119645747889664 2.85 4455 -0.37  -479.84    15.55    16.71    14.48     1.837  3740  9.10   nan    0.96 0 1
2M04161005+6206146  475554107755505024 3.02 4481 -0.24  -430.40    14.22    15.49    13.11     2.166  3125 15.88   nan    1.02 0 1
