KIC, group, n_modes, numax, numax_err, delta_nu, Teff, Teff_err, Fe_H, alpha_Fe, eccentricity, mass_16, mass, mass_84, radius_16, radius, radius_84, age_16, age, age_84
11509608 , C , 5 ,  33.40 ,   0.57 ,  4.057 ,   4733 ,  73 , -0.78 ,  0.27 , 0.501 ,  0.89 ,  0.93 ,  0.95 ,  9.61 ,  9.74 ,  9.83 ,  8.82 ,  9.74 , 11.19     
11598459 , C , 7 , 124.02 ,   2.11 , 11.266 ,   4884 ,  87 , -0.58 ,  0.31 , 0.534 ,  0.85 ,  0.87 ,  0.90 ,  4.83 ,  4.86 ,  4.92 , 12.25 , 14.19 , 15.21     
11717920 , C , 6 ,  22.41 ,   0.38 ,  2.807 ,   4670 ,  84 , -0.62 ,  0.22 , 0.311 ,  1.29 ,  1.31 ,  1.35 , 13.94 , 14.04 , 14.18 ,  2.82 ,  3.17 ,  3.29     
11752358 , C , 6 ,  64.59 ,   1.10 ,  6.503 ,   4946 ,  92 , -0.74 ,  0.17 , 0.138 ,  1.02 ,  1.04 ,  1.06 ,  7.32 ,  7.37 ,  7.42 ,  5.73 ,  6.19 ,  6.64     
11753104 , C , 6 ,  33.40 ,   0.57 ,  3.866 ,   4727 ,  79 , -0.60 ,  0.26 , 0.281 ,  1.11 ,  1.14 ,  1.18 , 10.66 , 10.77 , 10.90 ,  4.57 ,  5.22 ,  5.81     
11968543 , C , 6 , 116.35 ,   1.98 , 10.869 ,   4976 ,  90 , -0.95 ,  0.24 , 0.536 ,  0.87 ,  0.88 ,  0.90 ,  4.99 ,  5.01 ,  5.05 ,  9.81 , 10.56 , 11.14     
12111110 , A , 6 ,  29.48 ,   0.50 ,  3.773 ,   4890 ,  99 , -1.10 ,  0.13 , 0.990 ,  0.88 ,  0.87 ,  1.07 , 10.13 , 10.09 , 10.84 ,  4.95 , 10.09 ,  9.73     
12115227 , C , 6 ,  97.33 ,   1.65 ,  9.387 ,   4827 ,  77 , -0.62 ,  0.26 , 0.311 ,  0.92 ,  0.94 ,  0.96 ,  5.60 ,  5.64 ,  5.68 ,  9.28 , 10.22 , 11.03     
12207740 , B , 6 ,  38.67 ,   0.66 ,  4.601 ,   4996 ,  95 , -1.22 ,  0.32 , 0.251 ,  0.88 ,  0.92 ,  0.94 ,  8.77 ,  8.91 ,  8.99 ,  7.78 ,  8.56 , 10.00     
12207840 , C , 5 ,  77.12 ,   1.31 ,  7.837 ,   4802 ,  76 , -0.53 ,  0.19 , 0.264 ,  0.92 ,  0.94 ,  0.96 ,  6.31 ,  6.36 ,  6.39 ,  9.70 , 10.34 , 11.32     
12253381 , A , 5 ,  21.87 ,   0.37 ,  3.028 ,   5002 , 100 , -1.71 ,  0.07 , 0.963 ,  0.87 ,  0.89 ,  0.92 , 11.61 , 11.70 , 11.84 ,  7.55 ,  8.51 ,  9.20     
12300740 , C , 6 ,  31.70 ,   0.54 ,  3.657 ,   4778 ,  76 , -0.64 ,  0.19 , 0.309 ,  1.28 ,  1.30 ,  1.34 , 11.69 , 11.75 , 11.86 ,  2.87 ,  3.16 ,  3.34     
